"id","year","month","weekday","time_period","death","injuries","neighbourhood","longitude","latitude"
2,2004,"January","Saturday","Night",0,0,"NSA",0,0
3,2004,"January","Sunday","Night",0,2,"Kensington-Chinatown",-79.3991631359,43.6561192971
5,2004,"January","Tuesday","Evening",0,0,"Malvern East",-79.2074123725,43.8018017944
6,2004,"January","Tuesday","Evening",0,0,"Malvern East",-79.2065164804,43.8083504941
8,2004,"January","Thursday","Afternoon",1,0,"Rustic",-79.5072677432,43.7174159464
9,2004,"January","Tuesday","Evening",0,1,"Malvern West",-79.2209516747,43.8056433004
13,2004,"January","Wednesday","Night",0,0,"Malvern East",-79.2105976696,43.7974119941
17,2004,"January","Saturday","Night",0,1,"Rustic",-79.5037893471,43.7028788545
20,2004,"January","Monday","Night",0,0,"Malvern East",-79.2135407767,43.8062993969
21,2004,"January","Saturday","Evening",0,0,"Yorkdale-Glen Park",-79.4571023084,43.7246693548
22,2004,"February","Thursday","Night",0,0,"Dorset Park",-79.2729151206,43.7653382514
23,2004,"February","Saturday","Night",1,0,"Oakwood Village",-79.4392124949,43.6953475703
26,2004,"March","Wednesday","Night",1,1,"West Hill",-79.1754254104,43.7684618027
27,2004,"March","Wednesday","Night",1,0,"Rustic",-79.5072677432,43.7174159464
29,2004,"March","Sunday","Night",0,1,"Elms-Old Rexdale",-79.5538263359,43.7180649539
31,2004,"March","Saturday","Evening",0,0,"Oakdale-Beverley Heights",-79.513772443,43.7198131464
34,2004,"March","Sunday","Evening",0,1,"West Humber-Clairville",-79.6196482873,43.7303172359
35,2004,"March","Sunday","Evening",0,1,"Black Creek",-79.5147305161,43.7672126887
40,2004,"March","Monday","Morning",0,0,"Golfdale-Cedarbrae-Woburn",-79.2246999498,43.7578335993
41,2004,"March","Monday","Morning",0,0,"Eglinton East",-79.2323706786,43.7454140812
42,2004,"March","Monday","Afternoon",0,0,"Black Creek",-79.5147305161,43.7672126887
46,2004,"April","Sunday","Night",0,1,"Kensington-Chinatown",-79.3938323387,43.6538145932
47,2004,"April","Monday","Evening",0,0,"Malvern East",-79.2124230852,43.8120999224
48,2004,"April","Tuesday","Evening",1,0,"Elms-Old Rexdale",-79.5505513709,43.7250949228
51,2004,"April","Thursday","Night",0,2,"Glenfield-Jane Heights",-79.5103932184,43.7492116795
52,2004,"April","Friday","Night",0,1,"Wellington Place",-79.3932779374,43.6484030875
54,2004,"April","Saturday","Morning",0,0,"Black Creek",-79.5147305161,43.7672126887
55,2004,"April","Monday","Night",0,0,"Yonge-Bay Corridor",-79.3871014431,43.6550077941
57,2004,"April","Wednesday","Night",0,1,"York University Heights",-79.4742414335,43.7555243565
58,2004,"April","Friday","Evening",0,0,"West Hill",-79.1947643043,43.7621233931
59,2004,"April","Friday","Evening",0,1,"West Hill",-79.1964252068,43.766156293
61,2004,"May","Saturday","Evening",1,0,"Mount Olive-Silverstone-Jamestown",-79.5792481726,43.7352650768
64,2004,"May","Wednesday","Night",0,0,"Glenfield-Jane Heights",-79.5090378204,43.7562908846
65,2004,"May","Thursday","Afternoon",0,0,"Glenfield-Jane Heights",-79.5192049105,43.7528875823
66,2004,"May","Thursday","Evening",0,0,"Kensington-Chinatown",-79.4007029339,43.6523520924
67,2004,"May","Friday","Afternoon",0,1,"Black Creek",-79.5187419136,43.7692318857
68,2004,"May","Friday","Night",0,0,"Weston",-79.5113086557,43.6983790656
69,2004,"May","Friday","Afternoon",1,1,"Black Creek",-79.5187419136,43.7692318857
72,2004,"May","Thursday","Afternoon",0,0,"Downtown Yonge East",-79.3773725503,43.6609919001
73,2004,"May","Thursday","Night",0,2,"Rockcliffe-Smythe",-79.4956855971,43.6761978177
74,2004,"May","Thursday","Night",0,0,"Mount Olive-Silverstone-Jamestown",-79.5853086714,43.7322826771
76,2004,"May","Friday","Evening",1,0,"Regent Park",-79.3630013598,43.6600896992
78,2004,"May","Sunday","Night",0,0,"West Humber-Clairville",-79.5876200143,43.6914435972
79,2004,"May","Monday","Evening",0,0,"West Humber-Clairville",-79.5821158052,43.6888974389
80,2004,"May","Tuesday","Afternoon",0,0,"Rockcliffe-Smythe",-79.4974391015,43.6719076321
81,2004,"May","Thursday","Night",0,1,"Moss Park",-79.3671912551,43.6550123941
83,2004,"May","Friday","Evening",0,0,"Mount Olive-Silverstone-Jamestown",-79.5942011631,43.7419205704
84,2004,"May","Saturday","Evening",0,1,"NSA",0,0
87,2004,"June","Thursday","Afternoon",0,1,"NSA",0,0
88,2004,"June","Thursday","Evening",0,0,"Rockcliffe-Smythe",-79.4947325002,43.673987925
89,2004,"June","Friday","Evening",0,0,"Golfdale-Cedarbrae-Woburn",-79.2197507311,43.7562371954
91,2004,"June","Tuesday","Night",0,0,"Mount Olive-Silverstone-Jamestown",-79.591897366,43.74533717
92,2004,"June","Thursday","Afternoon",0,1,"West Hill",-79.1947643043,43.7621233931
93,2004,"June","Friday","Evening",0,1,"Wellington Place",-79.3932779374,43.6484030875
94,2004,"June","Saturday","Night",0,0,"Rustic",-79.5072677432,43.7174159464
97,2004,"June","Sunday","Evening",0,1,"Moss Park",-79.3710028536,43.6582965974
100,2004,"June","Thursday","Night",0,0,"Malvern East",-79.2360440733,43.7918742875
103,2004,"July","Thursday","Night",1,0,"Black Creek",-79.5228406081,43.7730069762
104,2004,"July","Friday","Night",0,0,"Malvern West",-79.2286320745,43.8094145264
106,2004,"July","Monday","Night",0,1,"Oakdale-Beverley Heights",-79.5131838453,43.7255266499
108,2004,"July","Friday","Morning",0,0,"NSA",0,0
110,2004,"July","Tuesday","Afternoon",0,1,"Glenfield-Jane Heights",-79.5081399023,43.7430464591
112,2004,"July","Saturday","Night",1,0,"Moss Park",-79.366661654,43.6506676898
113,2004,"July","Monday","Evening",0,0,"West Humber-Clairville",-79.6181808865,43.7335258549
114,2004,"July","Thursday","Evening",0,1,"West Humber-Clairville",-79.6031053674,43.7342310653
117,2004,"August","Sunday","Evening",0,0,"Weston",-79.5088711596,43.696824767
118,2004,"August","Tuesday","Evening",0,1,"Elms-Old Rexdale",-79.5516095729,43.7262253295
119,2004,"August","Tuesday","Night",0,1,"Glenfield-Jane Heights",-79.517043612,43.7548317831
121,2004,"August","Thursday","Night",0,1,"Downtown Yonge East",-79.3764472489,43.6548291939
122,2004,"August","Wednesday","Morning",0,0,"Yonge-Bay Corridor",-79.3830173419,43.6466026857
124,2004,"August","Wednesday","Evening",0,1,"West Hill",-79.1974834051,43.7589449909
126,2004,"August","Friday","Evening",0,1,"Mount Olive-Silverstone-Jamestown",-79.5951555671,43.7507273645
127,2004,"August","Friday","Evening",0,0,"Weston",-79.5268771438,43.704895453
128,2004,"August","Friday","Night",0,0,"Rockcliffe-Smythe",-79.4875959057,43.6727464321
129,2004,"August","Friday","Evening",0,0,"York University Heights",-79.5000685016,43.7673163695
131,2004,"August","Saturday","Night",0,0,"Weston",-79.5268771438,43.704895453
136,2004,"September","Wednesday","Night",0,1,"Weston",-79.5263482472,43.7035181584
137,2004,"September","Friday","Afternoon",0,1,"NSA",0,0
138,2004,"September","Sunday","Night",1,0,"NSA",0,0
139,2004,"September","Sunday","Evening",0,0,"Black Creek",-79.5187419136,43.7692318857
140,2004,"September","Monday","Night",0,0,"Mount Olive-Silverstone-Jamestown",-79.589223065,43.741089572
141,2004,"September","Wednesday","Afternoon",0,0,"Mount Olive-Silverstone-Jamestown",-79.5884871663,43.7387194744
142,2004,"September","Saturday","Evening",0,1,"West Hill",-79.1946673042,43.7619802931
143,2004,"September","Saturday","Afternoon",0,0,"Downtown Yonge East",-79.37494445,43.6551427942
144,2004,"September","Sunday","Night",0,1,"Downtown Yonge East",-79.3756139479,43.6502681894
147,2004,"September","Monday","Evening",0,1,"Moss Park",-79.3700991535,43.6561628953
148,2004,"September","Tuesday","Night",1,0,"West Humber-Clairville",-79.613307583,43.7321698926
150,2004,"September","Sunday","Night",0,0,"Rustic",-79.5048246444,43.706642149
153,2004,"October","Saturday","Night",0,1,"Rockcliffe-Smythe",-79.4767409011,43.6816047125
155,2004,"October","Friday","Afternoon",1,0,"NSA",0,0
156,2004,"October","Friday","Night",0,0,"Eglinton East",-79.2352444617,43.7395254816
158,2004,"October","Tuesday","Evening",0,2,"West Humber-Clairville",-79.5994437679,43.7309796695
160,2004,"October","Saturday","Night",0,1,"NSA",0,0
162,2004,"October","Saturday","Night",0,2,"Oakdale-Beverley Heights",-79.5230268424,43.7177204478
163,2004,"October","Sunday","Night",0,0,"Weston",-79.5081787613,43.6962439678
164,2004,"November","Thursday","Morning",0,1,"Englemount-Lawrence",-79.4298041913,43.7192548623
165,2004,"November","Friday","Evening",0,0,"Oakwood Village",-79.4408334975,43.6926505739
166,2004,"November","Sunday","Morning",0,0,"Wellington Place",-79.3907863389,43.6491253882
169,2004,"November","Sunday","Night",0,1,"Oakdale-Beverley Heights",-79.509597645,43.7248922464
171,2004,"November","Monday","Afternoon",0,1,"Mount Olive-Silverstone-Jamestown",-79.5898971656,43.7388048743
172,2004,"November","Tuesday","Night",0,1,"Mount Olive-Silverstone-Jamestown",-79.5858125795,43.7510197804
173,2004,"November","Sunday","Evening",0,2,"Rockcliffe-Smythe",-79.4931703055,43.6703087384
176,2004,"November","Sunday","Afternoon",0,2,"Oakdale-Beverley Heights",-79.508637944,43.7209778464
178,2004,"December","Friday","Evening",0,1,"Regent Park",-79.3644996586,43.6597646989
183,2004,"December","Sunday","Night",1,0,"Downtown Yonge East",-79.3788570492,43.6606708998
185,2004,"December","Monday","Evening",1,0,"Flemingdon Park",-79.3277681348,43.7126171722
186,2004,"December","Tuesday","Evening",0,1,"Weston",-79.5336168346,43.7077805376
195,2005,"January","Sunday","Night",0,0,"Wellington Place",-79.3891655396,43.6494536886
196,2005,"January","Sunday","Night",0,1,"Wellington Place",-79.3891655396,43.6494536886
198,2005,"January","Tuesday","Night",0,1,"Golfdale-Cedarbrae-Woburn",-79.2110685384,43.7628998987
201,2005,"January","Friday","Night",0,1,"Glenfield-Jane Heights",-79.5090824198,43.7581387853
202,2005,"January","Wednesday","Evening",0,1,"Glenfield-Jane Heights",-79.4997679892,43.7401962298
206,2005,"January","Sunday","Night",0,0,"Weston",-79.5070646551,43.6982600634
207,2005,"February","Tuesday","Evening",0,0,"Glenfield-Jane Heights",-79.509277484,43.7383055294
208,2005,"February","Tuesday","Night",0,1,"Dorset Park",-79.2794447134,43.7613232469
