"id","quarter","decade","casualties"
2,"Q1","Past_Decade","Negative"
3,"Q1","Past_Decade","Positive"
5,"Q1","Past_Decade","Negative"
6,"Q1","Past_Decade","Negative"
8,"Q1","Past_Decade","Positive"
9,"Q1","Past_Decade","Positive"
13,"Q1","Past_Decade","Negative"
17,"Q1","Past_Decade","Positive"
20,"Q1","Past_Decade","Negative"
21,"Q1","Past_Decade","Negative"
22,"Q1","Past_Decade","Negative"
23,"Q1","Past_Decade","Positive"
26,"Q1","Past_Decade","Positive"
27,"Q1","Past_Decade","Positive"
31,"Q1","Past_Decade","Negative"
34,"Q1","Past_Decade","Positive"
35,"Q1","Past_Decade","Positive"
40,"Q1","Past_Decade","Negative"
41,"Q1","Past_Decade","Negative"
42,"Q1","Past_Decade","Negative"
46,"Q2","Past_Decade","Positive"
47,"Q2","Past_Decade","Negative"
51,"Q2","Past_Decade","Positive"
52,"Q2","Past_Decade","Positive"
54,"Q2","Past_Decade","Negative"
55,"Q2","Past_Decade","Negative"
57,"Q2","Past_Decade","Positive"
58,"Q2","Past_Decade","Negative"
59,"Q2","Past_Decade","Positive"
61,"Q2","Past_Decade","Positive"
64,"Q2","Past_Decade","Negative"
65,"Q2","Past_Decade","Negative"
66,"Q2","Past_Decade","Negative"
67,"Q2","Past_Decade","Positive"
68,"Q2","Past_Decade","Negative"
69,"Q2","Past_Decade","Positive"
72,"Q2","Past_Decade","Negative"
73,"Q2","Past_Decade","Positive"
74,"Q2","Past_Decade","Negative"
76,"Q2","Past_Decade","Positive"
78,"Q2","Past_Decade","Negative"
79,"Q2","Past_Decade","Negative"
80,"Q2","Past_Decade","Negative"
81,"Q2","Past_Decade","Positive"
83,"Q2","Past_Decade","Negative"
84,"Q2","Past_Decade","Positive"
87,"Q2","Past_Decade","Positive"
88,"Q2","Past_Decade","Negative"
89,"Q2","Past_Decade","Negative"
91,"Q2","Past_Decade","Negative"
92,"Q2","Past_Decade","Positive"
93,"Q2","Past_Decade","Positive"
94,"Q2","Past_Decade","Negative"
97,"Q2","Past_Decade","Positive"
100,"Q2","Past_Decade","Negative"
103,"Q3","Past_Decade","Positive"
104,"Q3","Past_Decade","Negative"
106,"Q3","Past_Decade","Positive"
108,"Q3","Past_Decade","Negative"
110,"Q3","Past_Decade","Positive"
112,"Q3","Past_Decade","Positive"
113,"Q3","Past_Decade","Negative"
114,"Q3","Past_Decade","Positive"
117,"Q3","Past_Decade","Negative"
119,"Q3","Past_Decade","Positive"
121,"Q3","Past_Decade","Positive"
122,"Q3","Past_Decade","Negative"
124,"Q3","Past_Decade","Positive"
126,"Q3","Past_Decade","Positive"
127,"Q3","Past_Decade","Negative"
128,"Q3","Past_Decade","Negative"
129,"Q3","Past_Decade","Negative"
131,"Q3","Past_Decade","Negative"
